Clade Name	Clade Definition	Section Letter	Components	Show	Comments
Grylloblattodea	"Galloisiana yuasai+""Grylloblatta bifratrilecta"""	None		1	
Hemiptera	"Acanthocasuarina muellerianae+""Bemisia tabaci""+""Trialeurodes vaporariorum""+""Planococcus citri""+""Essigella californica""+""ACYRTOSIPHON PISUM""+""Aphis gossypii""+""Nilaparvata lugens""+""Xenophysella greensladeae""+""Cercopis vulnerata""+""Okanagana villosa""+""Velia caprai""+""Ranatra linearis""+""Notostira elongata""+""Acanthosoma haemorrhoidale"""	None		1	
Hymenoptera	"Tenthredo koehleri+""Cotesia vestalis""+""NASONIA VITRIPENNIS""+""Leptopilina clavipes""+""Orussus abietinus""+""Chrysis viridula""+""ACROMYRMEX ECHINATIOR""+""Harpegnathos SALTator""+""Exoneura robusta""+""Bombus terrestris""+""APIS MELLIFERA"""	None		1	
Lepidoptera	"Micropterix calthella+""Eriocrania subpurpurella""+""Triodia sylvina""+""Nemophora deegerella""+""Yponomeuta evonymella""+""Zygaena fausta""+""BOMBYX MORI""+""Manduca sexta""+""Parides arcas""+""Polyommatus icarus"""	None		1	
Mantodea	"Metallyticus splendidus+""Mantis religiosa""+""Empusa pennata"""	None		1	
Mantophasmatodea	"Tanzaniophasma sp"""	None		0	
Mecoptera	"Nannochorista philpotti+""Boreus hyemalis""+""Panorpa vulgaris""+""Bittacus pilicornis"""	None		1	
Neuropterida	"Conwentzia psociformis+""Xanthostigma xanthostigma""+""Inocellia crassicornis""+""Corydalus cornutus""+""Sialis lutaria""+""Osmylus fulvicephalus""+""Euroleon nostras""+""Dichochrysa prasina"""	None		1	
Odonata	"Calopteryx splendens+""Cordulegaster boltonii""+""Epiophlebia superstes"""	None		1	
Orthoptera	"Gryllotalpa sp+""Ceuthophilus sp""+""Tetrix subulata""+""Stenobothrus lineatus""+""Prosarthria teretrirostris"""	None		1	
Outgroup	All-"Speleonectes tulumensis-""DAPHNIA PULEX""-""IXODES SCAPULARIS""-""Glomeris pustulata""-""Symphylella vulgaris""-""Cypridininae sp""-""Lepeophtheirus salmonis""-""Sarsinebalia urgorii""-""Litopenaeus vannamei""-""Celuca puligator"""	None		1	
Phasmida/phasmatodea	"Timema cristinae+""Aretaon asperrimus""+""Peruphasma schultei"""	None		1	
Plecoptera	"Perla marginata+""Leuctra sp""+""Cosmioperla kuna"""	None		1	
Protura	"Acerentomon sp"""	None		0	
Psocodea	"Ectopsocus briggsi+""Liposcelis bostrychophila""+""PEDICULUS HUMANUS""+""Menopon gallinae"""	None		1	
Siphonaptera	"Ceratophyllus gallinae+""Ctenocephalides felis""+""Archaeopsylla erinacei"""	None		1	
Strepsiptera	"Stylops melittae+""Mengenilla moldrzyki"""	None		1	
Thysanoptera	"Gynaikothrips ficorum+""Frankliniella cephalica""+""Thrips palmi"""	None		1	
Thysanura/zygentoma	"Tricholepidion gertschi+""Atelura formicaria""+""Thermobia domestica"""	None		1	
Trichoptera	"Hydroptilidae sp+""Rhyacophila fasciata""+""Platycentropus radiatus""+""Cheumatopsyche sp""+""Philopotamus ludificatus"""	None		1	
Zoraptera	"Zorotypus caudelli"""	None		0	
Mecoptera/Siphonaptera	Siphonaptera+Mecoptera	None	Siphonaptera+Mecoptera	0	
Diptera/Mecoptera/Siphonaptera	Mecoptera/Siphonaptera+Diptera	None	Mecoptera/Siphonaptera+Diptera	0	
Trichoptera/Lepidoptera	Lepidoptera+Trichoptera	None	Lepidoptera+Trichoptera	0	
Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera	Trichoptera/Lepidoptera+Diptera/Mecoptera/Siphonaptera	None	Trichoptera/Lepidoptera+Diptera/Mecoptera/Siphonaptera	0	
Strepsiptera/Neuropterida/Coleoptera	Coleoptera+Strepsiptera+Neuropterida	None	Coleoptera+Strepsiptera+Neuropterida	0	
Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera	Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera+Strepsiptera/Neuropterida/Coleoptera	None	Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera+Strepsiptera/Neuropterida/Coleoptera	0	
Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera	Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera+Hymenoptera	None	Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera+Hymenoptera	0	
Hemiptera/Thysanoptera	Thysanoptera+Hemiptera	None	Thysanoptera+Hemiptera	0	
Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera	Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera+Hemiptera/Thysanoptera+Psocodea	None	Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera+Hemiptera/Thysanoptera+Psocodea	0	
Grylloblattodea/Mantophasmatodea	Mantophasmatodea+Grylloblattodea	None	Mantophasmatodea+Grylloblattodea	0	
Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina	Embiidina+Phasmida/phasmatodea+Grylloblattodea/Mantophasmatodea	None	Embiidina+Phasmida/phasmatodea+Grylloblattodea/Mantophasmatodea	0	
Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina	Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Blattodea+Orthoptera+Plecoptera+Mantodea+Zoraptera+Dermaptera	None	Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Blattodea+Orthoptera+Plecoptera+Mantodea+Zoraptera+Dermaptera	0	
Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina	Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera	None	Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera	0	
Ephemeroptera/Odonata/Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina	Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Ephemeroptera+Odonata	None	Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Ephemeroptera+Odonata	0	
Thysanura/zygentoma/Ephemeroptera/Odonata/Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina	Ephemeroptera/Odonata/Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Thysanura/zygentoma	None	Ephemeroptera/Odonata/Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Thysanura/zygentoma	0	
Archaeognatha/microcoryphia/Thysanura/zygentoma/Ephemeroptera/Odonata/Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina	Thysanura/zygentoma/Ephemeroptera/Odonata/Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Archaeognatha/microcoryphia	None	Thysanura/zygentoma/Ephemeroptera/Odonata/Hemiptera/Thysanoptera/Psocodea/Hymenoptera/Strepsiptera/Neuropterida/Coleoptera/Diptera/Mecoptera/Siphonaptera/Trichoptera/Lepidoptera/Blattodea/Orthoptera/Plecoptera/Mantodea/Zoraptera/Dermaptera/Grylloblattodea/Mantophasmatodea/Phasmida/phasmatodea/Embiidina+Archaeognatha/microcoryphia	0	
